mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,name,kpl,hp_bins
38.1,4,89.0,60.0,1968.0,18.8,80,Japan,toyota corolla tercel,16.2,저출력
32.1,4,98.0,70.0,2120.0,15.5,80,USA,chevrolet chevette,13.65,저출력
37.2,4,86.0,65.0,2019.0,16.4,80,Japan,datsun 310,15.82,저출력
28.0,4,151.0,90.0,2678.0,16.5,80,USA,chevrolet citation,11.9,저출력
26.4,4,140.0,88.0,2870.0,18.1,80,USA,ford fairmont,11.22,저출력
24.3,4,151.0,90.0,3003.0,20.1,80,USA,amc concord,10.33,저출력
19.1,6,225.0,90.0,3381.0,18.7,80,USA,dodge aspen,8.12,저출력
34.3,4,97.0,78.0,2188.0,15.8,80,EU,audi 4000,14.58,저출력
29.8,4,134.0,90.0,2711.0,15.5,80,Japan,toyota corona liftback,12.67,저출력
31.3,4,120.0,75.0,2542.0,17.5,80,Japan,mazda 626,13.31,저출력
37.0,4,119.0,92.0,2434.0,15.0,80,Japan,datsun 510 hatchback,15.73,저출력
32.2,4,108.0,75.0,2265.0,15.2,80,Japan,toyota corolla,13.69,저출력
46.6,4,86.0,65.0,2110.0,17.9,80,Japan,mazda glc,19.81,저출력
27.9,4,156.0,105.0,2800.0,14.4,80,USA,dodge colt,11.86,저출력
40.8,4,85.0,65.0,2110.0,19.2,80,Japan,datsun 210,17.35,저출력
44.3,4,90.0,48.0,2085.0,21.7,80,EU,vw rabbit c (diesel),18.83,저출력
43.4,4,90.0,48.0,2335.0,23.7,80,EU,vw dasher (diesel),18.45,저출력
36.4,5,121.0,67.0,2950.0,19.9,80,EU,audi 5000s (diesel),15.48,저출력
30.0,4,146.0,67.0,3250.0,21.8,80,EU,mercedes-benz 240d,12.75,저출력
44.6,4,91.0,67.0,1850.0,13.8,80,Japan,honda civic 1500 gl,18.96,저출력
33.8,4,97.0,67.0,2145.0,18.0,80,Japan,subaru dl,14.37,저출력
29.8,4,89.0,62.0,1845.0,15.3,80,EU,vokswagen rabbit,12.67,저출력
32.7,6,168.0,132.0,2910.0,11.4,80,Japan,datsun 280-zx,13.9,보통출력
23.7,3,70.0,100.0,2420.0,12.5,80,Japan,mazda rx-7 gs,10.08,저출력
35.0,4,122.0,88.0,2500.0,15.1,80,EU,triumph tr7 coupe,14.88,저출력
32.4,4,107.0,72.0,2290.0,17.0,80,Japan,honda accord,13.77,저출력
27.2,4,135.0,84.0,2490.0,15.7,81,USA,plymouth reliant,11.56,저출력
26.6,4,151.0,84.0,2635.0,16.4,81,USA,buick skylark,11.31,저출력
25.8,4,156.0,92.0,2620.0,14.4,81,USA,dodge aries wagon (sw),10.97,저출력
23.5,6,173.0,110.0,2725.0,12.6,81,USA,chevrolet citation,9.99,보통출력
30.0,4,135.0,84.0,2385.0,12.9,81,USA,plymouth reliant,12.75,저출력
39.1,4,79.0,58.0,1755.0,16.9,81,Japan,toyota starlet,16.62,저출력
39.0,4,86.0,64.0,1875.0,16.4,81,USA,plymouth champ,16.58,저출력
35.1,4,81.0,60.0,1760.0,16.1,81,Japan,honda civic 1300,14.92,저출력
32.3,4,97.0,67.0,2065.0,17.8,81,Japan,subaru,13.73,저출력
37.0,4,85.0,65.0,1975.0,19.4,81,Japan,datsun 210 mpg,15.73,저출력
37.7,4,89.0,62.0,2050.0,17.3,81,Japan,toyota tercel,16.03,저출력
34.1,4,91.0,68.0,1985.0,16.0,81,Japan,mazda glc 4,14.5,저출력
34.7,4,105.0,63.0,2215.0,14.9,81,USA,plymouth horizon 4,14.75,저출력
34.4,4,98.0,65.0,2045.0,16.2,81,USA,ford escort 4w,14.62,저출력
29.9,4,98.0,65.0,2380.0,20.7,81,USA,ford escort 2h,12.71,저출력
33.0,4,105.0,74.0,2190.0,14.2,81,EU,volkswagen jetta,14.03,저출력
33.7,4,107.0,75.0,2210.0,14.4,81,Japan,honda prelude,14.33,저출력
32.4,4,108.0,75.0,2350.0,16.8,81,Japan,toyota corolla,13.77,저출력
32.9,4,119.0,100.0,2615.0,14.8,81,Japan,datsun 200sx,13.99,저출력
31.6,4,120.0,74.0,2635.0,18.3,81,Japan,mazda 626,13.43,저출력
28.1,4,141.0,80.0,3230.0,20.4,81,EU,peugeot 505s turbo diesel,11.95,저출력
30.7,6,145.0,76.0,3160.0,19.6,81,EU,volvo diesel,13.05,저출력
25.4,6,168.0,116.0,2900.0,12.6,81,Japan,toyota cressida,10.8,보통출력
24.2,6,146.0,120.0,2930.0,13.8,81,Japan,datsun 810 maxima,10.29,보통출력
22.4,6,231.0,110.0,3415.0,15.8,81,USA,buick century,9.52,보통출력
26.6,8,350.0,105.0,3725.0,19.0,81,USA,oldsmobile cutlass ls,11.31,저출력
20.2,6,200.0,88.0,3060.0,17.1,81,USA,ford granada gl,8.59,저출력
17.6,6,225.0,85.0,3465.0,16.6,81,USA,chrysler lebaron salon,7.48,저출력
28.0,4,112.0,88.0,2605.0,19.6,82,USA,chevrolet cavalier,11.9,저출력
27.0,4,112.0,88.0,2640.0,18.6,82,USA,chevrolet cavalier wagon,11.48,저출력
34.0,4,112.0,88.0,2395.0,18.0,82,USA,chevrolet cavalier 2-door,14.45,저출력
31.0,4,112.0,85.0,2575.0,16.2,82,USA,pontiac j2000 se hatchback,13.18,저출력
29.0,4,135.0,84.0,2525.0,16.0,82,USA,dodge aries se,12.33,저출력
27.0,4,151.0,90.0,2735.0,18.0,82,USA,pontiac phoenix,11.48,저출력
24.0,4,140.0,92.0,2865.0,16.4,82,USA,ford fairmont futura,10.2,저출력
36.0,4,105.0,74.0,1980.0,15.3,82,EU,volkswagen rabbit l,15.31,저출력
37.0,4,91.0,68.0,2025.0,18.2,82,Japan,mazda glc custom l,15.73,저출력
31.0,4,91.0,68.0,1970.0,17.6,82,Japan,mazda glc custom,13.18,저출력
38.0,4,105.0,63.0,2125.0,14.7,82,USA,plymouth horizon miser,16.16,저출력
36.0,4,98.0,70.0,2125.0,17.3,82,USA,mercury lynx l,15.31,저출력
36.0,4,120.0,88.0,2160.0,14.5,82,Japan,nissan stanza xe,15.31,저출력
36.0,4,107.0,75.0,2205.0,14.5,82,Japan,honda accord,15.31,저출력
34.0,4,108.0,70.0,2245.0,16.9,82,Japan,toyota corolla,14.45,저출력
38.0,4,91.0,67.0,1965.0,15.0,82,Japan,honda civic,16.16,저출력
32.0,4,91.0,67.0,1965.0,15.7,82,Japan,honda civic (auto),13.6,저출력
38.0,4,91.0,67.0,1995.0,16.2,82,Japan,datsun 310 gx,16.16,저출력
25.0,6,181.0,110.0,2945.0,16.4,82,USA,buick century limited,10.63,보통출력
38.0,6,262.0,85.0,3015.0,17.0,82,USA,oldsmobile cutlass ciera (diesel),16.16,저출력
26.0,4,156.0,92.0,2585.0,14.5,82,USA,chrysler lebaron medallion,11.05,저출력
22.0,6,232.0,112.0,2835.0,14.7,82,USA,ford granada l,9.35,보통출력
32.0,4,144.0,96.0,2665.0,13.9,82,Japan,toyota celica gt,13.6,저출력
36.0,4,135.0,84.0,2370.0,13.0,82,USA,dodge charger 2.2,15.31,저출력
27.0,4,151.0,90.0,2950.0,17.3,82,USA,chevrolet camaro,11.48,저출력
27.0,4,140.0,86.0,2790.0,15.6,82,USA,ford mustang gl,11.48,저출력
44.0,4,97.0,52.0,2130.0,24.6,82,EU,vw pickup,18.71,저출력
32.0,4,135.0,84.0,2295.0,11.6,82,USA,dodge rampage,13.6,저출력
28.0,4,120.0,79.0,2625.0,18.6,82,USA,ford ranger,11.9,저출력
31.0,4,119.0,82.0,2720.0,19.4,82,USA,chevy s-10,13.18,저출력
